TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 27 13032 0.26
21 56 27851 0.54
26 4 2014 0.04
31 26 12160 0.24
36 50 23110 0.46
41 75 35757 0.7
46 13 6083 0.12
51 33 16608 0.32
56 60 28982 0.56
61 86 41774 0.82
66 20 9614 0.18
71 44 21052 0.42
76 68 32140 0.64
81 14 6558 0.12
86 45 21615 0.42
91 71 33343 0.66
96 12 5316 0.1
101 35 17061 0.34
106 65 30732 0.6
111 8 4075 0.08
116 31 15256 0.3
121 48 24180 0.48
126 69 34797 0.68
131 18 9019 0.18
136 43 21450 0.42
141 63 30695 0.6
146 77 37297 0.74
151 6 2907 0.04
156 17 7957 0.14
161 26 12241 0.24
166 36 17206 0.34
171 44 21375 0.42
176 54 26386 0.52
181 61 30050 0.6
186 69 34260 0.68
191 12 5473 0.1
196 20 9140 0.18
201 31 14413 0.28
206 45 21001 0.42
211 53 24961 0.48
216 63 29888 0.58
221 74 35193 0.7
226 6 3152 0.06
231 17 7939 0.14
236 36 17102 0.34
241 46 22010 0.44
246 58 27925 0.54
251 72 34756 0.68
256 83 39874 0.78
261 24 11167 0.22
266 33 15715 0.3
271 50 23245 0.46
276 60 27463 0.54
281 73 33582 0.66
286 83 37849 0.74
291 16 7234 0.14
296 27 12726 0.24
301 40 18821 0.36
306 52 25221 0.5
311 62 29806 0.58
316 77 36632 0.72
321 13 6101 0.12
326 26 12281 0.24
331 37 17566 0.34
336 50 24206 0.48
341 60 29166 0.58
346 78 38121 0.76
351 15 6724 0.12
356 30 14053 0.28
361 44 20829 0.4
366 61 29003 0.58
371 71 33939 0.66
376 7 3634 0.06
381 27 13793 0.26
386 39 19730 0.38
391 52 25803 0.5
396 64 31293 0.62
401 77 37772 0.74
406 11 5815 0.1
411 26 12908 0.24
416 36 17296 0.34
421 48 22575 0.44
426 61 28811 0.56
431 69 32855 0.64
436 88 41984 0.82
441 12 5569 0.1
446 22 10235 0.2
451 36 16909 0.32
456 44 21068 0.42
461 59 27819 0.54
466 69 32631 0.64
471 84 40315 0.8
476 105 50657 1
481 134 65845 1.3
486 152 74473 1.48
491 173 84507 1.68
496 196 95035 1.9
501 96 45395 0.9
506 109 51757 1.02
511 129 60655 1.2
516 37 17175 0.34
521 60 27947 0.54
526 7 3430 0.06
531 32 15822 0.3
536 59 28801 0.56
541 5 2231 0.04
546 31 15153 0.3
551 61 30168 0.6
556 11 4624 0.08
561 43 19646 0.38
566 65 30900 0.6
571 8 3849 0.06
576 27 13193 0.26
581 62 31237 0.62
586 7 3451 0.06
591 34 16501 0.32
596 53 26089 0.52
