#BlockHash TimeSend TimeReceve
72657 223 224.325
307488 146.5 146.846
447400 187 188.325
959966 373 374.325
1632903 524.5 525.592
1811052 41.5 41.8831
3609048 77.5 77.8845
3765899 490.405 492.697
3783430 490.405 493.184
3895847 569.5 570.603
4792831 511 512.562
4859321 25 25.9032
4902680 490.405 493.766
5166767 490.405 494.225
5690375 490.405 494.577
5693245 553 553.583
5761421 109 109.891
5883073 436 437.325
7650092 489.401 490.397
7748968 490.405 495.072
9660521 61 61.9137
11042914 490.405 490.526
11051267 490.405 491.049
11222674 127 127.883
11514038 346 347.325
11668377 254.5 256.325
11883272 92.5 92.8826
12397339 400 401.325
13366516 596.002 596.229
13384228 11.7192 12.6985
14277075 317.5 319.325
14401667 500.5 501.829
14620159 490.405 492.16
14643546 284.5 286.325
15361205 584.5 585.61
16433386 539.5 540.589
