#BlockHash TimeSend TimeReceve
72657 526.18 526.558
307488 536.006 536.211
447400 531.012 531.501
959966 491.775 486.039
1632903 524.5 526.395
1811052 41.5 42.6956
3609048 77.5 78.6952
3765899 284.5 285.772
3783430 166 167.772
3895847 569.5 571.406
4792831 511 513.387
4859321 25 26.6954
4902680 250 251.772
5166767 310 311.772
5690375 433 434.772
5693245 553 554.387
5761421 109 110.695
5883073 491.775 476.044
7650092 489.401 491.386
7748968 371.5 372.772
9660521 61 62.6955
11042914 217 218.772
11051267 190 191.772
11222674 127 128.696
11514038 491.775 492.027
11668377 516.015 516.378
11883272 92.5 93.6955
12397339 491.775 481.038
13366516 401.5 402.772
13384228 11.7192 13.6953
14277075 496.392 496.795
14401667 500.5 502.386
14620159 341.5 342.772
14643546 511.017 511.118
15361205 584.5 586.394
16433386 539.5 541.412
