#BlockHash TimeSend TimeReceve
106230 317.5 318.668
235281 373 374.668
278239 986.003 986.211
649213 881.053 145.69
705161 896.159 896.253
944658 881.047 881.588
1072945 730 731.668
1558274 1036 1036.05
1640337 892 893.48
1650393 397 398.668
1747997 622 623.668
1899178 1001.01 1001.3
2332347 925 927.303
2569281 808 809.668
2727539 880.972 861.361
2821167 991 993.236
2896907 881.053 29.6184
3183713 881.053 46.6747
3336803 941.5 943.408
3767206 880.972 866.155
3915620 782.5 783.668
4019211 593.5 594.669
4023024 755.5 756.668
4380836 881.053 128.619
4486821 926.001 926.315
4495486 1031 1031.04
4633780 931.003 931.353
4695716 881.053 161.608
6210153 880.972 871.539
6357978 1011 1011.19
6506469 448 449.669
6686805 951.003 951.398
7122088 271 272.668
7221953 419.5 420.668
7599928 881.053 215.684
8050102 881.053 112.678
8082064 881.053 178.693
8184514 974.5 977.294
8188209 521.5 522.668
8219507 880.972 866.364
8524489 941.003 941.209
8529214 295 296.668
8564468 276.004 276.092
8998000 1024 1025.41
9059945 1040.5 1042.46
9109277 881.053 62.6018
9227458 881.053 95.6771
9284165 881.053 881.599
9377385 896.162 896.437
9746815 1021.01 1021.09
10444516 1007.5 1009.59
10557905 880.972 881.317
10802627 880.972 856.255
10888509 1006.01 1006.28
11002180 1090 1091.33
11254800 911.001 911.384
11508128 547 548.668
11529919 881.047 881.455
11606592 649 650.668
11657175 880.972 861.222
12131361 881.053 881.55
12179083 1026.01 1026.09
12427049 470.5 471.668
13347063 1057 1058.48
13456085 344.5 345.668
13635896 571 572.668
13929662 958 959.473
14314763 1016 1016.13
14734823 908.5 910.425
14780937 493 494.668
15337058 881.053 79.5979
15349018 701.5 702.668
15430483 881.053 194.676
16085989 881.036 870.022
16108920 676 677.668
16414509 1073.5 1075.44
16724267 880.972 872.535
