#BlockHash TimeSend TimeReceve
72657 596.012 596.43
307488 516.004 516.273
447400 596.008 596.348
959966 496.03 496.536
1632903 524.5 526.407
1811052 41.5 42.6991
3609048 77.5 78.6987
3765899 284.5 284.849
3783430 166 167.015
3895847 569.5 571.41
4792831 511 513.391
4859321 25 26.699
4902680 250 250.849
5166767 310 310.849
5690375 433 433.848
5693245 553 554.391
5761421 109 110.7
5883073 492.102 495.446
7650092 489.401 491.39
7748968 371.5 371.848
9660521 61 62.7006
11042914 217 217.848
11051267 190 190.848
11222674 127 128.699
11514038 596.003 596.109
11668377 506.044 506.452
11883272 92.5 93.6993
12397339 596.007 596.253
13366516 401.5 401.852
13384228 11.7192 13.6988
14277075 492.102 494.01
14401667 500.5 502.577
14620159 341.5 341.852
14643546 492.102 494.469
15361205 584.5 586.42
16433386 539.5 541.437
