TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 29 13888 0.26
21 51 24742 0.48
26 80 39053 0.78
31 103 50183 1
36 128 61881 1.22
41 38 18990 0.36
46 68 34177 0.68
51 105 51933 1.02
56 17 8402 0.16
61 31 15299 0.3
66 58 27719 0.54
71 68 32226 0.64
76 21 10559 0.2
81 45 22484 0.44
86 59 29182 0.58
91 84 41262 0.82
96 50 24438 0.48
101 60 29234 0.58
106 67 32269 0.64
111 75 36029 0.72
116 88 42481 0.84
121 99 48240 0.96
126 107 52173 1.04
131 118 56807 1.12
136 133 63939 1.26
141 146 70251 1.4
146 83 39485 0.78
151 95 45533 0.9
156 101 48416 0.96
161 112 53106 1.06
166 5 2447 0.04
171 15 7587 0.14
176 22 10933 0.2
181 31 15174 0.3
186 40 19248 0.38
191 50 24103 0.48
196 60 28647 0.56
201 75 35972 0.7
206 7 3700 0.06
211 16 7776 0.14
216 22 10973 0.2
221 33 16231 0.32
226 38 18752 0.36
231 47 22899 0.44
236 60 29512 0.58
241 70 33720 0.66
246 0 0 0
251 7 3693 0.06
256 16 8031 0.16
261 23 11257 0.22
266 36 17845 0.34
271 50 24872 0.48
276 61 30326 0.6
281 71 34712 0.68
286 6 2960 0.04
291 17 8288 0.16
296 30 13948 0.26
301 42 19806 0.38
306 57 27717 0.54
311 66 32214 0.64
316 80 38915 0.76
321 12 5787 0.1
326 19 8705 0.16
331 29 13699 0.26
336 39 18597 0.36
341 50 24207 0.48
346 63 30493 0.6
351 70 33928 0.66
356 76 36312 0.72
361 9 4382 0.08
366 16 7649 0.14
371 30 14469 0.28
376 42 20335 0.4
381 47 23005 0.46
386 53 26197 0.52
391 61 29881 0.58
396 74 36084 0.72
401 5 2573 0.04
406 11 5767 0.1
411 19 10073 0.2
416 25 12868 0.24
421 36 18298 0.36
426 48 24581 0.48
431 56 28361 0.56
436 68 33636 0.66
441 6 2755 0.04
446 22 10334 0.2
451 33 15590 0.3
456 44 20889 0.4
461 51 24052 0.48
466 63 30207 0.6
471 70 33362 0.66
476 9 4606 0.08
481 21 9740 0.18
486 34 16362 0.32
491 44 20915 0.4
496 48 22617 0.44
501 59 28144 0.56
506 70 33207 0.66
511 76 36098 0.72
516 91 43382 0.86
521 120 56985 1.12
526 142 67000 1.34
531 165 77998 1.54
536 191 90405 1.8
541 211 99875 1.98
546 230 109759 2.18
551 250 120349 2.4
556 270 130083 2.6
561 308 148811 2.96
566 337 163735 3.26
571 358 173873 3.46
576 386 187045 3.74
581 416 201928 4.02
586 446 215899 4.3
591 477 230997 4.6
596 503 244043 4.88
