TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 27 13166 0.26
21 56 27985 0.54
26 87 42616 0.84
31 29 13697 0.26
36 53 24647 0.48
41 78 37294 0.74
46 16 7620 0.14
51 36 18145 0.36
56 63 30519 0.6
61 89 43311 0.86
66 23 11151 0.22
71 47 22589 0.44
76 71 33677 0.66
81 17 8095 0.16
86 48 23152 0.46
91 74 34880 0.68
96 15 6853 0.12
101 38 18598 0.36
106 68 32269 0.64
111 10 5202 0.1
116 34 16793 0.32
121 51 25717 0.5
126 72 36334 0.72
131 21 10556 0.2
136 44 21926 0.42
141 64 31358 0.62
146 77 37428 0.74
151 9 4444 0.08
156 20 9494 0.18
161 29 13778 0.26
166 39 18743 0.36
171 47 22912 0.44
176 57 27923 0.54
181 64 31587 0.62
186 72 35797 0.7
191 15 7010 0.14
196 23 10677 0.2
201 34 15950 0.3
206 48 22538 0.44
211 56 26498 0.52
216 66 31425 0.62
221 77 36730 0.72
226 9 4689 0.08
231 20 9476 0.18
236 39 18639 0.36
241 49 23547 0.46
246 61 29462 0.58
251 75 36293 0.72
256 86 41411 0.82
261 27 12704 0.24
266 36 17252 0.34
271 53 24782 0.48
276 63 29000 0.58
281 76 35119 0.7
286 86 39386 0.78
291 19 8771 0.16
296 30 14263 0.28
301 43 20358 0.4
306 55 26758 0.52
311 65 31343 0.62
316 80 38169 0.76
321 16 7638 0.14
326 29 13818 0.26
331 40 19103 0.38
336 53 25743 0.5
341 63 30703 0.6
346 81 39658 0.78
351 18 8261 0.16
356 33 15590 0.3
361 47 22366 0.44
366 64 30540 0.6
371 74 35476 0.7
376 10 5171 0.1
381 30 15330 0.3
386 42 21267 0.42
391 55 27340 0.54
396 67 32830 0.64
401 80 39309 0.78
406 14 7352 0.14
411 29 14445 0.28
416 39 18833 0.36
421 51 24112 0.48
426 64 30348 0.6
431 72 34392 0.68
436 91 43521 0.86
441 15 7106 0.14
446 25 11772 0.22
451 39 18446 0.36
456 47 22605 0.44
461 62 29356 0.58
466 72 34168 0.68
471 87 41852 0.82
476 108 52194 1.04
481 137 67382 1.34
486 155 76010 1.52
491 176 86044 1.72
496 198 96226 1.92
501 219 105931 2.1
506 112 53294 1.06
511 132 62192 1.24
516 40 18712 0.36
521 63 29484 0.58
526 92 43332 0.86
531 35 17359 0.34
536 62 30338 0.6
541 90 43307 0.86
546 34 16690 0.32
551 64 31705 0.62
556 14 6161 0.12
561 46 21183 0.42
566 68 32437 0.64
571 97 45800 0.9
576 30 14730 0.28
581 65 32774 0.64
586 92 46201 0.92
591 37 18038 0.36
596 56 27626 0.54
