TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 132 63357 1.26
21 259 125031 2.5
26 383 183627 3.66
31 506 242762 4.84
36 533 257178 5.14
41 644 309910 6.18
46 742 356159 7.12
51 879 421325 8.42
56 866 413847 8.26
61 989 472323 9.44
66 1114 532762 10.64
71 1108 529174 10.58
76 1220 584177 11.68
81 1343 644333 12.88
86 1332 639716 12.78
91 1460 700679 14
96 1561 750012 15
101 1652 793753 15.86
106 1739 834587 16.68
111 1825 874904 17.48
116 1887 904731 18.08
121 1936 927878 18.54
126 1978 948620 18.96
131 2031 974010 19.48
136 2071 992794 19.84
141 1865 892441 17.84
146 1907 911958 18.22
151 1949 932539 18.64
156 1878 899054 17.98
161 1914 916205 18.32
166 1948 932282 18.64
171 1870 896367 17.92
176 1906 914795 18.28
181 1946 934376 18.68
186 1978 950019 19
191 1901 912271 18.24
196 1947 934899 18.68
201 1983 952124 19.04
206 1909 917573 18.34
211 1940 932726 18.64
216 1981 950748 19
221 1904 913691 18.26
226 1943 932626 18.64
231 1982 951974 19.02
236 2028 973960 19.46
241 1949 937953 18.74
246 1985 955515 19.1
251 2028 976552 19.52
256 1953 939659 18.78
261 1989 956361 19.12
266 2037 979808 19.58
271 1956 940191 18.8
276 2001 960943 19.2
281 2036 976781 19.52
286 2082 998350 19.96
291 2013 964648 19.28
296 2043 979267 19.58
301 2086 1000905 20
306 2012 964932 19.28
311 2042 978991 19.56
316 2077 995982 19.9
321 1995 956287 19.12
326 2032 973247 19.46
331 2071 992159 19.84
336 2005 960659 19.2
341 2049 981770 19.62
346 2088 1000751 20
351 2132 1022101 20.44
356 2057 986847 19.72
361 2103 1008998 20.16
366 2146 1030018 20.6
371 2067 992606 19.84
376 2097 1007239 20.14
381 2134 1025062 20.5
386 2051 984664 19.68
391 2093 1004461 20.08
396 2132 1024677 20.48
401 2176 1046661 20.92
406 2090 1006164 20.12
411 2132 1026194 20.52
416 2181 1049357 20.98
421 2093 1006769 20.12
426 2138 1028571 20.56
431 2176 1046670 20.92
436 2088 1002225 20.04
441 2129 1021753 20.42
446 2165 1038213 20.76
451 2197 1053741 21.06
456 2125 1019351 20.38
461 2171 1040399 20.8
466 2218 1063816 21.26
471 2136 1022863 20.44
476 2170 1038926 20.76
481 2210 1058196 21.16
486 2138 1024838 20.48
491 2170 1040511 20.8
496 2223 1065984 21.3
501 2150 1030613 20.6
506 2193 1050413 21
511 2231 1068870 21.36
516 2269 1086866 21.72
521 2178 1041812 20.82
526 2218 1061495 21.22
531 2259 1081271 21.62
536 2189 1047860 20.94
541 2227 1067106 21.34
546 2273 1089676 21.78
551 2193 1053223 21.06
556 2235 1073096 21.46
561 2277 1093249 21.86
566 2318 1113273 22.26
571 2243 1078686 21.56
576 2266 1089810 21.78
581 2302 1107784 22.14
586 2227 1071767 21.42
591 2267 1091135 21.82
596 2306 1109739 22.18
601 2220 1068776 21.36
606 2262 1088869 21.76
611 2293 1103833 22.06
616 2335 1123350 22.46
621 2256 1086368 21.72
626 2289 1102634 22.04
631 2330 1122698 22.44
636 2245 1081984 21.62
641 2288 1103095 22.06
646 2332 1125142 22.5
651 2247 1083642 21.66
656 2280 1099745 21.98
661 2314 1116468 22.32
666 2240 1079799 21.58
671 2289 1104079 22.08
676 2332 1124236 22.48
681 2375 1145095 22.9
686 2282 1099306 21.98
691 2330 1123650 22.46
696 2367 1141062 22.82
701 2280 1100567 22
706 2309 1114505 22.28
711 2352 1134983 22.68
716 2264 1093308 21.86
721 2303 1111822 22.22
726 2350 1135291 22.7
731 2383 1151174 23.02
736 2289 1108028 22.16
741 2332 1128729 22.56
746 2375 1149790 22.98
751 2293 1110728 22.2
756 2334 1131894 22.62
761 2369 1148450 22.96
766 2277 1104519 22.08
771 2309 1119692 22.38
776 2350 1139022 22.78
781 2392 1159015 23.18
786 2312 1119992 22.38
791 2368 1147480 22.94
796 2448 1187357 23.74
801 2543 1232579 24.64
806 2664 1290380 25.8
811 2789 1352689 27.04
816 2917 1414757 28.28
821 3031 1470705 29.4
826 3168 1536101 30.72
831 3259 1579865 31.58
836 3355 1626442 32.52
841 3467 1680209 33.6
846 3596 1742899 34.84
851 3716 1800574 36
856 3830 1854814 37.08
861 3933 1904663 38.08
866 4000 1936855 38.72
871 4071 1971227 39.42
876 4146 2006741 40.12
881 4211 2038734 40.76
886 4288 2075648 41.5
891 4409 2134086 42.68
896 4526 2190385 43.8
