#BlockHash TimeSend TimeReceve
109302 218.5 220.029
1351619 173.5 175.029
2516376 583 584.03
2636554 553 554.029
2948331 883.87 47.3353
3253836 302.5 304.029
3688984 883.87 80.3378
3701059 245.5 247.029
3930223 883.87 883.673
4784871 361 362.029
5203410 424 425.029
6517709 638.5 640.029
7314306 883.87 29.6114
7906876 176.025 176.222
8360596 392.5 394.029
8645451 452.5 454.029
9608588 883.87 96.3955
9657139 190 191.029
10409816 275.5 277.029
10606032 670 671.03
11054629 891.006 891.181
12331301 488.5 490.03
13022621 883.87 114.679
13277721 707.5 709.029
13781339 610 611.029
13823214 883.87 884.49
14438098 891.025 891.264
14530967 521.5 523.029
15230900 740.5 742.029
15546036 331 332.029
15579258 883.87 63.3393
