TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 29 14414 0.28
21 56 27917 0.54
26 10 5311 0.1
31 30 14434 0.28
36 53 24990 0.48
41 77 37141 0.74
46 15 7877 0.14
51 36 18385 0.36
56 63 30755 0.6
61 88 42712 0.84
66 27 13297 0.26
71 49 23471 0.46
76 72 34396 0.68
81 13 6562 0.12
86 49 24397 0.48
91 70 33826 0.66
96 8 3908 0.06
101 31 14485 0.28
106 49 23453 0.46
111 78 37884 0.74
116 23 11702 0.22
121 49 24235 0.48
126 67 33289 0.66
131 18 9484 0.18
136 39 19951 0.38
141 61 30163 0.6
146 4 2205 0.04
151 18 8405 0.16
156 34 15764 0.3
161 48 22439 0.44
166 65 30388 0.6
171 71 33314 0.66
176 5 2603 0.04
181 24 11716 0.22
186 40 19619 0.38
191 51 24408 0.48
196 62 29637 0.58
201 80 38861 0.76
206 15 7603 0.14
211 29 14381 0.28
216 41 20228 0.4
221 53 26145 0.52
226 60 29398 0.58
231 75 36434 0.72
236 11 5554 0.1
241 21 10705 0.2
246 40 20076 0.4
251 50 25124 0.5
256 59 29743 0.58
261 76 37696 0.74
266 11 5902 0.1
271 23 11518 0.22
276 33 16187 0.32
281 47 22790 0.44
286 67 32319 0.64
291 78 37526 0.74
296 9 4673 0.08
301 21 10669 0.2
306 36 18193 0.36
311 50 25242 0.5
316 63 31576 0.62
321 75 37198 0.74
326 10 5036 0.1
331 23 10901 0.2
336 35 16922 0.32
341 46 22457 0.44
346 58 28430 0.56
351 68 33615 0.66
356 4 2265 0.04
361 24 11309 0.22
366 43 20335 0.4
371 51 24645 0.48
376 65 31250 0.62
381 5 2760 0.04
386 20 10234 0.2
391 35 17909 0.34
396 48 24148 0.48
401 59 28660 0.56
406 79 37899 0.74
411 11 4940 0.08
416 23 10705 0.2
421 35 16395 0.32
426 44 20480 0.4
431 53 24859 0.48
436 62 28977 0.56
441 80 37932 0.74
446 8 3822 0.06
451 21 10581 0.2
456 28 13993 0.26
461 41 19841 0.38
466 56 27099 0.54
471 72 35144 0.7
476 86 42075 0.84
481 106 51890 1.02
486 130 63295 1.26
491 159 76921 1.52
496 64 30163 0.6
501 89 41576 0.82
506 5 2366 0.04
511 24 10928 0.2
516 38 18052 0.36
521 56 26481 0.52
526 80 38446 0.76
531 28 13544 0.26
536 56 26736 0.52
541 75 35405 0.7
546 19 9503 0.18
551 43 21658 0.42
556 70 35197 0.7
561 21 9928 0.18
566 43 20411 0.4
571 66 31622 0.62
576 14 6660 0.12
581 37 17411 0.34
586 52 24986 0.48
591 82 39113 0.78
596 22 10490 0.2
