TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 26 12824 0.24
21 55 27643 0.54
26 86 42274 0.84
31 28 13355 0.26
36 52 24305 0.48
41 77 36952 0.72
46 15 7278 0.14
51 35 17803 0.34
56 62 30177 0.6
61 88 42969 0.84
66 22 10809 0.2
71 46 22247 0.44
76 70 33335 0.66
81 16 7753 0.14
86 47 22810 0.44
91 73 34538 0.68
96 14 6511 0.12
101 36 17636 0.34
106 66 31307 0.62
111 9 4650 0.08
116 32 15831 0.3
121 49 24755 0.48
126 70 35372 0.7
131 19 9594 0.18
136 44 22025 0.44
141 65 31802 0.62
146 78 37872 0.74
151 7 3482 0.06
156 18 8532 0.16
161 27 12816 0.24
166 37 17781 0.34
171 45 21950 0.42
176 55 26961 0.52
181 62 30625 0.6
186 70 34835 0.68
191 13 6048 0.12
196 21 9715 0.18
201 32 14988 0.28
206 46 21576 0.42
211 54 25536 0.5
216 64 30463 0.6
221 75 35768 0.7
226 7 3727 0.06
231 18 8514 0.16
236 37 17677 0.34
241 47 22585 0.44
246 59 28500 0.56
251 73 35331 0.7
256 84 40449 0.8
261 25 11742 0.22
266 34 16290 0.32
271 51 23820 0.46
276 61 28038 0.56
281 74 34157 0.68
286 84 38424 0.76
291 17 7809 0.14
296 28 13301 0.26
301 41 19396 0.38
306 53 25796 0.5
311 63 30381 0.6
316 78 37207 0.74
321 14 6676 0.12
326 27 12856 0.24
331 38 18141 0.36
336 51 24781 0.48
341 61 29741 0.58
346 79 38696 0.76
351 16 7299 0.14
356 31 14628 0.28
361 45 21404 0.42
366 62 29578 0.58
371 72 34514 0.68
376 8 4209 0.08
381 28 14368 0.28
386 40 20305 0.4
391 53 26378 0.52
396 65 31868 0.62
401 78 38347 0.76
406 12 6390 0.12
411 27 13483 0.26
416 37 17871 0.34
421 49 23150 0.46
426 62 29386 0.58
431 70 33430 0.66
436 89 42559 0.84
441 13 6144 0.12
446 23 10810 0.2
451 37 17484 0.34
456 45 21643 0.42
461 60 28394 0.56
466 70 33206 0.66
471 85 40890 0.8
476 106 51232 1.02
481 135 66420 1.32
486 153 75048 1.5
491 174 85082 1.7
496 195 94799 1.88
501 216 104504 2.08
506 109 51867 1.02
511 129 60765 1.2
516 38 17750 0.34
521 61 28522 0.56
526 91 42932 0.84
531 33 16397 0.32
536 60 29376 0.58
541 88 42345 0.84
546 32 15728 0.3
551 62 30743 0.6
556 12 5199 0.1
561 44 20221 0.4
566 66 31475 0.62
571 95 44838 0.88
576 28 13768 0.26
581 63 31812 0.62
586 90 45239 0.9
591 35 17076 0.34
596 54 26664 0.52
