TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 34 16052 0.32
21 74 34427 0.68
26 113 52857 1.04
31 32 15836 0.3
36 63 30538 0.6
41 91 43973 0.86
46 136 65737 1.3
51 59 29366 0.58
56 93 44581 0.88
61 133 65188 1.3
66 52 25056 0.5
71 96 46256 0.92
76 126 60922 1.2
81 44 21752 0.42
86 87 42526 0.84
91 127 62114 1.24
96 169 82606 1.64
101 77 37190 0.74
106 110 53675 1.06
111 133 64932 1.28
116 61 29746 0.58
121 87 42074 0.84
126 115 56619 1.12
131 151 73998 1.46
136 194 94677 1.88
141 217 105558 2.1
146 239 115813 2.3
151 255 123355 2.46
156 273 132496 2.64
161 281 136505 2.72
166 293 142492 2.84
171 304 147802 2.94
176 315 152739 3.04
181 112 54223 1.08
186 124 60021 1.2
191 137 65956 1.3
196 26 12200 0.24
201 44 21075 0.42
206 54 25910 0.5
211 66 31632 0.62
216 75 36212 0.72
221 13 6554 0.12
226 36 17777 0.34
231 43 20971 0.4
236 56 26787 0.52
241 66 32024 0.64
246 82 39897 0.78
251 11 5431 0.1
256 24 12098 0.24
261 47 23590 0.46
266 60 30174 0.6
271 68 34034 0.68
276 82 41232 0.82
281 23 12015 0.24
286 38 19274 0.38
291 44 22412 0.44
296 58 28690 0.56
301 72 35176 0.7
306 14 6540 0.12
311 26 12356 0.24
316 43 20830 0.4
321 54 26483 0.52
326 64 31347 0.62
331 81 39493 0.78
336 14 7147 0.14
341 27 13263 0.26
346 41 19842 0.38
351 47 23011 0.46
356 62 30314 0.6
361 78 38688 0.76
366 18 8620 0.16
371 31 14528 0.28
376 42 19582 0.38
381 54 25444 0.5
386 63 30185 0.6
391 76 36741 0.72
396 10 4786 0.08
401 20 9003 0.18
406 34 16223 0.32
411 46 21652 0.42
416 64 29663 0.58
421 74 34735 0.68
426 10 4887 0.08
431 23 11470 0.22
436 42 20160 0.4
441 54 25956 0.5
446 63 30208 0.6
451 77 36378 0.72
456 13 5871 0.1
461 21 10076 0.2
466 31 14728 0.28
471 37 17580 0.34
476 44 21267 0.42
481 60 28544 0.56
486 75 35799 0.7
491 10 4971 0.08
496 20 9558 0.18
501 29 13772 0.26
506 43 20395 0.4
511 57 27466 0.54
516 66 31675 0.62
521 79 38514 0.76
526 12 5756 0.1
531 30 14573 0.28
536 45 21488 0.42
541 60 28581 0.56
546 69 32896 0.64
551 79 37657 0.74
556 16 7479 0.14
561 32 14834 0.28
566 46 21429 0.42
571 56 26602 0.52
576 64 30372 0.6
581 79 37027 0.74
586 12 5514 0.1
591 24 11778 0.22
596 36 17227 0.34
601 53 25656 0.5
606 67 32685 0.64
611 89 44064 0.88
616 23 10287 0.2
621 35 16354 0.32
626 49 23426 0.46
631 65 31031 0.62
636 79 37935 0.74
641 8 3894 0.06
646 17 8247 0.16
651 32 15480 0.3
656 44 21222 0.42
661 53 25815 0.5
666 70 34103 0.68
671 83 40192 0.8
676 20 9582 0.18
681 27 12948 0.24
686 38 18568 0.36
691 50 24569 0.48
696 57 28171 0.56
701 68 33478 0.66
706 76 37305 0.74
711 9 4462 0.08
716 20 9859 0.18
721 30 14348 0.28
726 38 17908 0.34
731 55 25953 0.5
736 69 32978 0.64
741 84 40216 0.8
746 21 9652 0.18
751 30 13567 0.26
756 37 16925 0.32
761 62 28308 0.56
766 84 38277 0.76
771 106 48490 0.96
776 131 60608 1.2
781 154 72234 1.44
786 191 89564 1.78
791 237 113473 2.26
796 271 129279 2.58
801 313 150367 3
806 355 170341 3.4
811 386 185323 3.7
816 416 200470 4
821 449 216651 4.32
826 486 233953 4.66
831 520 251272 5.02
836 558 270041 5.4
841 584 282743 5.64
846 618 298912 5.96
851 655 316661 6.32
856 689 333042 6.66
861 727 350716 7
866 766 369427 7.38
871 795 382721 7.64
876 828 398893 7.96
881 867 417655 8.34
886 900 434003 8.68
891 937 450757 9
896 963 463601 9.26
