#time bytes-send
11.0381 455
11.3054 410
11.4914 583
11.7963 581
12.8355 386
12.8896 385
13.3821 486
13.4769 474
13.6429 343
13.9986 626
14.167 435
14.2211 356
14.5909 390
14.715 522
14.9372 596
15.017 424
15.1317 517
15.2347 339
15.3824 339
15.6906 567
16.3337 636
16.8344 337
16.8998 381
16.9149 555
17.0635 632
17.3585 436
17.6027 569
17.976 487
18.1039 493
18.5359 450
18.6227 522
18.8095 340
18.8749 428
19.0166 517
19.1073 489
19.1471 363
19.6929 9
19.7432 572
19.981 633
20.1756 560
20.5439 504
20.9746 589
21.2048 634
21.37 624
21.5938 463
21.7414 476
21.7523 588
22.0868 404
22.7309 526
22.7501 545
22.8021 441
22.8642 369
23.2235 490
23.6593 466
23.7094 591
24.049 544
24.1048 610
24.1926 542
24.2072 497
24.2295 475
24.3046 603
24.6028 636
24.7866 416
24.8336 439
25.036 575
25.0588 422
25.087 418
25.462 466
25.5449 458
25.8817 350
26.0508 442
26.338 357
26.4446 618
26.8554 570
27.093 514
27.3644 460
27.4584 339
27.8318 384
27.9645 614
28.8993 534
28.983 365
29.0619 636
29.6455 501
29.8605 580
30.4817 500
30.6547 578
30.8462 492
30.8569 383
30.8642 468
31.2598 341
31.5207 526
31.8275 348
31.9182 372
32.0544 494
32.1335 509
32.2841 635
32.4055 343
33.5333 563
33.8726 435
33.9622 492
34.273 611
34.4943 434
34.5815 543
34.7133 505
34.7773 398
34.7893 522
34.9021 475
35.7869 535
35.8685 540
36.0985 527
36.1551 583
36.3385 536
36.3394 401
36.3762 634
36.3965 352
36.5299 412
36.725 557
36.7852 450
37.1011 465
37.1921 610
37.221 405
37.5545 587
37.6375 539
38.2768 553
38.2891 516
38.4898 560
38.6041 485
38.7078 554
39.0325 477
39.3785 418
39.389 489
39.6385 586
39.7007 480
41.2042 588
41.2692 498
41.691 616
41.9752 598
42.444 554
42.5426 507
42.7285 494
42.7928 475
42.8025 495
42.8226 383
43.1872 500
43.3759 552
43.4238 598
43.7111 613
43.7496 365
44.0325 455
44.1749 469
44.5489 593
44.7026 439
44.7168 384
44.7534 364
45.0757 602
45.1022 617
45.291 496
45.6194 427
45.6492 632
45.7499 576
46.173 566
46.2225 411
46.3317 517
46.4305 526
46.9906 375
47.1253 503
47.1785 428
47.3973 569
47.4151 471
47.5542 422
47.5596 359
47.8113 473
47.8685 396
47.9124 636
47.9572 611
48.2506 465
48.3152 394
48.5043 403
48.5152 438
48.6837 441
48.7305 626
48.7324 420
49.0116 431
49.0229 360
49.0951 347
49.1205 570
49.1461 338
49.3539 433
49.8041 624
49.9685 434
50.1635 602
50.1643 527
50.712 523
50.7416 628
50.8163 625
50.9537 496
51.0971 345
51.3125 446
51.5531 539
52.2871 462
52.8039 527
52.9168 615
53.9487 573
54.4746 471
54.5133 378
54.7621 358
55.6638 376
56.1029 530
56.2388 462
56.4655 581
56.6856 466
58.0261 403
58.0455 496
58.1729 432
58.3165 392
58.9549 578
59.142 631
59.1781 447
59.2749 553
61.0595 399
61.3532 410
61.5101 392
61.6157 577
62.2451 424
62.2748 530
62.6706 412
62.9744 385
63.0169 385
63.5765 367
63.656 603
63.7494 509
63.7625 367
63.8251 494
64.6718 424
64.8023 536
64.9189 402
64.9588 481
65.091 434
65.5278 349
65.7637 347
65.7847 493
66.1921 519
66.8896 343
67.0599 386
67.587 396
67.7861 351
68.1198 571
68.3174 391
68.4266 465
68.4594 373
68.8897 414
69.5057 542
71.0327 422
71.1999 356
71.5767 433
71.9729 468
72.1348 405
72.3494 631
72.8309 486
72.849 401
73.099 624
73.1007 518
73.3827 619
73.8107 522
73.8143 406
74.0575 404
74.1942 527
74.2686 612
75.2522 582
75.2787 396
75.2814 371
75.959 596
76.0199 518
76.0234 449
76.0787 563
76.4146 606
77.1758 442
77.7509 551
77.9329 451
78.0085 386
78.2875 559
78.4235 458
78.4417 549
78.5715 405
78.6377 519
78.6611 390
79.2382 578
79.3597 475
79.5634 562
79.627 455
79.8534 609
80.1943 534
80.6291 340
80.684 473
81.1465 397
81.9923 530
82.073 342
82.207 368
82.2216 547
82.2809 401
83.6318 401
84.0644 489
84.104 534
84.1201 388
84.2738 494
84.302 454
84.4168 449
84.9012 532
84.9302 622
85.427 630
85.6601 493
85.9084 510
86.0016 563
86.0026 563
86.0074 563
86.2383 563
86.2406 563
86.2416 563
86.2431 563
86.2441 503
86.3686 535
86.8542 346
87.3778 586
87.8216 480
87.8972 374
87.968 545
88.0374 541
88.592 582
88.6995 343
88.724 364
90.1891 539
91.7403 483
91.7422 517
92.0247 523
92.1514 345
92.2512 517
92.3646 504
92.3871 390
92.5993 549
92.6365 365
93.5592 586
94.7146 353
94.8705 472
95.4929 613
95.6701 403
95.6809 408
95.6898 533
97.2216 546
98.1999 517
98.7426 418
99.1991 445
101.547 406
101.655 530
102.221 411
102.998 403
103.127 461
103.137 582
103.246 523
103.46 504
104.561 482
104.565 462
106.021 339
107.973 477
108.758 606
108.871 619
108.91 614
108.976 540
110.336 579
110.854 613
111.203 384
111.654 378
112.234 526
112.427 436
113.017 582
113.171 573
114.222 504
114.719 633
115.079 484
116.566 513
116.569 432
116.811 433
116.843 443
117.686 383
117.863 532
120.545 449
120.979 365
121.258 633
121.292 492
121.504 467
121.949 437
122.17 518
122.463 550
122.509 498
123.371 399
124.479 427
124.968 410
125.475 575
126.495 450
128.13 514
130.431 546
131.045 479
131.245 600
132.788 388
133.032 356
133.412 426
134.097 347
134.138 337
135.361 468
135.376 579
137.248 515
137.382 474
137.785 422
137.942 616
138.419 478
139.19 358
139.282 519
140.408 605
142.223 389
142.51 526
142.648 626
142.806 431
144.645 397
144.819 564
144.852 632
145.36 458
145.884 440
149.679 503
149.729 380
150.144 441
151.702 605
151.744 548
152.34 511
152.806 426
152.85 353
153.247 383
156.055 522
157.1 413
157.634 498
158.36 582
158.72 503
158.835 636
159.01 353
159.685 426
159.769 388
160.698 550
160.891 529
161.495 399
161.547 561
162.016 371
162.344 516
162.492 494
162.68 341
163.087 401
163.257 364
164.475 598
164.971 596
165.539 473
166.002 529
166.003 339
166.004 529
166.006 339
166.355 460
166.925 581
167.964 354
168.555 400
168.912 549
168.934 415
169.111 522
169.115 503
169.118 461
169.13 451
169.638 369
169.655 585
169.941 491
170.956 588
172.194 598
174.015 577
176.002 529
176.003 529
176.004 529
176.005 339
176.013 339
176.02 339
176.97 409
178.609 577
180.395 440
183.124 470
183.147 620
185.111 337
186.759 468
186.848 545
188.583 523
189.364 563
189.978 371
190.253 373
190.999 408
192.536 494
193.053 356
193.056 575
193.634 463
195.109 341
195.76 583
197.026 530
197.501 608
197.514 425
199.108 355
202.181 356
202.844 506
203.725 345
204.036 614
204.06 481
206.821 397
208.121 552
208.297 442
208.775 412
210.053 633
210.505 456
210.507 632
211.849 612
211.895 581
212.166 491
212.846 600
213.494 379
213.537 549
213.613 584
213.745 624
213.921 472
214.795 458
214.924 486
216.006 428
216.045 447
216.469 520
216.852 406
218.385 418
219.1 582
219.541 634
219.984 502
221.416 539
221.598 529
221.601 418
222.084 435
222.481 349
223.096 465
224.455 525
225.006 526
225.281 458
225.43 491
225.675 461
226.186 584
226.31 510
226.86 487
226.879 545
228.135 612
228.601 473
228.787 342
229.585 436
229.958 451
229.963 383
230.727 565
230.802 400
230.929 524
231.353 507
231.366 482
231.801 636
232.195 371
232.791 456
233.114 481
233.312 358
233.64 478
235.032 613
236.57 636
236.652 503
237.133 559
237.245 512
237.452 527
237.987 512
238.998 400
239.207 475
241.487 484
241.617 422
242.291 631
242.815 600
244.369 408
246.002 539
246.003 530
246.004 539
246.005 530
246.006 590
246.007 590
246.021 539
246.539 523
246.631 428
246.677 577
246.861 463
247.7 611
247.711 409
248.324 439
248.957 458
249.845 635
250.169 436
250.258 356
250.529 430
250.794 629
251.015 364
251.757 623
252.33 396
253.435 484
254.187 557
254.281 347
254.362 368
254.505 422
255.463 592
255.629 339
255.949 583
259.174 507
259.814 510
260.705 631
260.844 537
261.698 361
262.543 588
263.746 578
263.997 501
265.164 466
265.931 566
266.239 636
267.199 461
268.918 348
269.43 608
269.497 405
269.816 520
272.144 586
272.533 459
273.277 426
273.985 405
274.072 550
274.649 380
275.131 384
275.354 358
278.59 412
280.547 624
280.81 538
281.58 537
281.96 374
282.263 407
282.642 590
283.192 402
283.261 358
283.747 500
283.991 539
285.207 447
285.409 375
287.339 407
288.218 469
288.84 491
290.079 387
290.575 565
290.612 388
290.986 612
291.411 363
292.295 488
292.39 467
292.512 374
292.622 557
295.542 343
295.846 530
296.21 635
296.738 447
296.834 387
296.953 523
297.681 437
298.451 527
299.824 449
301.005 551
301.077 525
301.903 477
302.526 561
303.216 340
305.282 358
306.889 359
307.969 505
308.145 351
308.393 468
309.082 590
309.321 530
310.09 613
310.385 622
311.381 575
311.667 573
311.9 385
312.284 395
313.869 462
314.14 631
314.609 599
314.697 435
314.992 495
315.039 364
315.196 393
316.53 444
317.012 414
317.878 382
318.955 547
319.059 506
319.513 541
320.581 587
321.161 547
321.674 581
322.942 589
323.486 365
324.726 519
326.775 610
327.339 348
327.565 494
327.605 614
328.097 632
328.168 497
328.189 408
329.295 541
332.32 505
333.366 419
334.128 424
334.182 390
334.508 594
334.64 344
336.165 497
336.262 588
336.354 546
337.501 571
338.457 412
338.574 492
338.671 586
338.97 539
339.696 507
340.786 382
341.169 404
343.043 436
345.193 612
345.31 534
345.499 446
346.352 541
346.692 374
348.664 357
350.606 596
352.009 419
352.663 354
352.68 562
352.861 579
352.973 482
353.497 623
354.072 386
354.686 471
354.818 523
355.874 611
356.951 616
357.526 626
357.81 364
358.123 503
358.818 607
359.042 405
361.207 422
362.543 356
364.325 615
365.43 457
365.598 439
365.9 547
365.983 348
367.156 361
367.782 541
367.942 604
368.958 476
368.987 447
369.779 616
370.688 455
370.984 626
371.06 412
371.506 565
371.727 421
371.746 436
372.006 399
372.348 543
373.502 563
374.257 492
375.255 595
376.426 547
377.415 516
378.832 531
379.594 507
379.727 448
383.078 488
383.801 451
385.931 414
385.996 392
386.227 459
387.732 370
387.78 437
390.022 493
390.563 578
390.871 523
391.315 394
392.317 560
393.398 406
394.318 580
394.576 437
396.049 481
397.428 566
399.236 441
399.815 337
401.43 364
402.216 634
403.31 600
403.378 476
404.172 528
404.211 574
404.806 400
404.817 459
405.017 576
405.159 536
410.006 575
410.894 577
410.926 574
412.846 424
413.677 341
414.429 624
414.707 491
414.831 400
415.195 395
415.757 548
416.361 451
416.606 411
416.824 372
416.937 337
417.055 398
417.617 525
418.027 607
418.772 469
418.866 404
418.972 486
418.988 490
420.554 476
420.682 610
421.006 396
422.257 634
422.584 538
422.907 627
422.964 471
424.453 479
425.103 634
425.252 358
425.555 348
425.657 415
425.765 631
426.491 343
426.772 588
426.867 545
427.393 540
427.829 353
427.898 478
428.153 354
430.099 366
430.827 535
431.084 358
432.087 445
433.786 492
434.816 611
434.939 496
435.038 580
