TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 25 12091 0.24
21 54 26910 0.52
26 85 41541 0.82
31 27 12622 0.24
36 51 23572 0.46
41 76 36219 0.72
46 14 6545 0.12
51 34 17070 0.34
56 61 29444 0.58
61 87 42236 0.84
66 21 10076 0.2
71 45 21514 0.42
76 69 32602 0.64
81 15 7020 0.14
86 46 22077 0.44
91 72 33805 0.66
96 13 5778 0.1
101 36 17523 0.34
106 66 31194 0.62
111 8 4127 0.08
116 32 15718 0.3
121 49 24642 0.48
126 70 35259 0.7
131 19 9481 0.18
136 46 23064 0.46
141 61 30084 0.6
146 69 33591 0.66
151 84 41515 0.82
156 102 49698 0.98
161 116 57060 1.14
166 132 64653 1.28
171 21 10265 0.2
176 35 16735 0.32
181 51 24237 0.48
186 64 30967 0.6
191 4 1646 0.02
196 21 9362 0.18
201 31 13443 0.26
206 46 20217 0.4
211 61 27620 0.54
216 76 35392 0.7
221 7 3038 0.06
226 18 8131 0.16
231 27 12444 0.24
236 41 18800 0.36
241 53 24563 0.48
246 65 30313 0.6
251 1 362 0
256 8 3723 0.06
261 19 8766 0.16
266 35 17071 0.34
271 46 21980 0.42
276 52 25048 0.5
281 66 31970 0.62
286 3 1521 0.02
291 19 9601 0.18
296 35 17736 0.34
301 49 24340 0.48
306 65 31630 0.62
311 2 958 0
316 16 7241 0.14
321 33 15255 0.3
326 49 23276 0.46
331 59 27903 0.54
336 69 32356 0.64
341 82 38783 0.76
346 11 5379 0.1
351 22 10644 0.2
356 34 16053 0.32
361 50 24637 0.48
366 66 32306 0.64
371 77 37507 0.74
376 15 6847 0.12
381 28 13364 0.26
386 37 17208 0.34
391 48 22245 0.44
396 59 27701 0.54
401 80 37655 0.74
406 15 7104 0.14
411 31 15516 0.3
416 38 18478 0.36
421 51 24710 0.48
426 64 31275 0.62
431 75 36537 0.72
436 13 6496 0.12
441 26 13305 0.26
446 34 17352 0.34
451 45 22431 0.44
456 58 28650 0.56
461 73 35480 0.7
466 86 41369 0.82
471 101 48795 0.96
476 122 59137 1.18
481 151 74325 1.48
486 169 82953 1.64
491 189 92503 1.84
496 212 103169 2.06
501 233 112874 2.24
506 197 93902 1.86
511 217 102800 2.04
516 125 59320 1.18
521 148 70092 1.4
526 177 83940 1.66
531 120 57967 1.14
536 143 69340 1.38
541 171 82309 1.64
546 116 56151 1.12
551 146 71166 1.42
556 96 45622 0.9
561 124 59008 1.18
566 147 70650 1.4
571 176 84013 1.68
576 109 52943 1.04
581 144 70987 1.4
586 170 84061 1.68
591 116 56251 1.12
596 135 65839 1.3
