TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 26 12689 0.24
21 55 27508 0.54
26 86 42139 0.84
31 28 13220 0.26
36 52 24170 0.48
41 77 36817 0.72
46 15 7143 0.14
51 35 17668 0.34
56 62 30042 0.6
61 88 42834 0.84
66 22 10674 0.2
71 46 22112 0.44
76 70 33200 0.66
81 16 7618 0.14
86 47 22675 0.44
91 73 34403 0.68
96 14 6376 0.12
101 37 18121 0.36
106 67 31792 0.62
111 9 4725 0.08
116 33 16316 0.32
121 50 25240 0.5
126 71 35857 0.7
131 20 10079 0.2
136 46 23164 0.46
141 59 29366 0.58
146 67 32873 0.64
151 82 40797 0.8
156 100 48980 0.96
161 114 56342 1.12
166 130 63935 1.26
171 23 11325 0.22
176 37 17795 0.34
181 53 25297 0.5
186 66 32027 0.64
191 83 39816 0.78
196 23 10422 0.2
201 33 14503 0.28
206 48 21277 0.42
211 63 28680 0.56
216 78 36452 0.72
221 9 4098 0.08
226 20 9191 0.18
231 29 13504 0.26
236 43 19860 0.38
241 55 25623 0.5
246 67 31373 0.62
251 81 38433 0.76
256 10 4783 0.08
261 21 9826 0.18
266 37 18131 0.36
271 48 23040 0.46
276 54 26108 0.52
281 68 33030 0.66
286 5 2581 0.04
291 19 9601 0.18
296 35 17736 0.34
301 49 24340 0.48
306 65 31630 0.62
311 80 38678 0.76
316 16 7241 0.14
321 33 15255 0.3
326 49 23276 0.46
331 59 27903 0.54
336 69 32356 0.64
341 82 38783 0.76
346 11 5379 0.1
351 22 10644 0.2
356 34 16053 0.32
361 50 24637 0.48
366 66 32306 0.64
371 77 37507 0.74
376 15 6847 0.12
381 28 13364 0.26
386 37 17208 0.34
391 48 22245 0.44
396 59 27701 0.54
401 80 37655 0.74
406 15 7104 0.14
411 31 15516 0.3
416 38 18478 0.36
421 51 24710 0.48
426 65 31815 0.62
431 75 36537 0.72
436 13 6496 0.12
441 26 13305 0.26
446 34 17352 0.34
451 45 22431 0.44
456 58 28650 0.56
461 73 35480 0.7
466 86 41369 0.82
471 101 48795 0.96
476 122 59137 1.18
481 151 74325 1.48
486 169 82953 1.64
491 189 92503 1.84
496 213 103563 2.06
501 234 113268 2.26
506 198 94296 1.88
511 218 103194 2.06
516 126 59714 1.18
521 149 70486 1.4
526 178 84334 1.68
531 121 58361 1.16
536 144 69734 1.38
541 172 82703 1.64
546 117 56545 1.12
551 147 71560 1.42
556 97 46016 0.92
561 125 59396 1.18
566 147 70650 1.4
571 176 84013 1.68
576 109 52943 1.04
581 144 70987 1.4
586 170 84061 1.68
591 116 56251 1.12
596 135 65839 1.3
