TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 24 11556 0.22
21 39 18642 0.36
26 68 32346 0.64
31 92 43371 0.86
36 48 22636 0.44
41 89 42930 0.84
46 113 54915 1.08
51 41 18599 0.36
56 69 31635 0.62
61 98 46615 0.92
66 33 16128 0.32
71 59 28522 0.56
76 99 47454 0.94
81 23 10576 0.2
86 45 20815 0.4
91 71 33814 0.66
96 114 53529 1.06
101 35 15616 0.3
106 67 31355 0.62
111 90 42530 0.84
116 35 16935 0.32
121 64 31186 0.62
126 77 37255 0.74
131 87 42111 0.84
136 94 44909 0.88
141 4 2043 0.04
146 12 5907 0.1
151 28 13771 0.26
156 35 17022 0.34
161 48 23466 0.46
166 59 29142 0.58
171 4 2126 0.04
176 14 6755 0.12
181 19 9091 0.18
186 32 14943 0.28
191 46 21661 0.42
196 62 29027 0.58
201 70 33114 0.66
206 81 38642 0.76
211 14 6916 0.12
216 20 9787 0.18
221 33 16256 0.32
226 42 20757 0.4
231 53 25959 0.5
236 68 33251 0.66
241 75 36408 0.72
246 3 1298 0.02
251 12 5540 0.1
256 22 10166 0.2
261 34 16064 0.32
266 38 17954 0.34
271 51 24507 0.48
276 61 29275 0.58
281 73 35055 0.7
286 2 819 0
291 14 6790 0.12
296 19 9291 0.18
301 31 14795 0.28
306 42 19682 0.38
311 58 26967 0.52
316 69 32433 0.64
321 80 38078 0.76
326 13 6165 0.12
331 21 10304 0.2
336 31 14683 0.28
341 45 21659 0.42
346 51 24284 0.48
351 56 26481 0.52
356 72 33895 0.66
361 82 38708 0.76
366 14 7015 0.14
371 24 11811 0.22
376 33 16075 0.32
381 45 21853 0.42
386 57 26956 0.52
391 65 30940 0.6
396 73 34772 0.68
401 7 3168 0.06
406 21 10228 0.2
411 32 15418 0.3
416 42 19874 0.38
421 55 25906 0.5
426 61 28517 0.56
431 73 34196 0.68
436 75 35120 0.7
441 6 2667 0.04
446 14 6703 0.12
451 25 12055 0.24
456 32 15405 0.3
461 37 17869 0.34
466 49 23589 0.46
471 56 27154 0.54
476 64 30708 0.6
481 82 39571 0.78
486 14 7395 0.14
491 28 14527 0.28
496 44 22581 0.44
501 56 27980 0.54
506 66 32586 0.64
511 1 584 0
516 14 6525 0.12
521 28 12598 0.24
526 41 18732 0.36
531 49 22806 0.44
536 58 26984 0.52
541 66 30984 0.6
546 78 36513 0.72
551 15 6419 0.12
556 28 13078 0.26
561 36 16945 0.32
566 42 20203 0.4
571 52 24657 0.48
576 60 28597 0.56
581 67 31766 0.62
586 81 38061 0.76
591 8 3614 0.06
596 19 8536 0.16
601 30 13878 0.26
606 43 20415 0.4
611 55 26940 0.52
616 64 31310 0.62
621 70 34436 0.68
626 5 2344 0.04
631 13 5899 0.1
636 24 11667 0.22
641 38 17937 0.34
646 54 25597 0.5
651 67 32463 0.64
656 81 39366 0.78
661 15 7302 0.14
666 18 8668 0.16
671 29 13678 0.26
676 38 17840 0.34
681 46 21820 0.42
686 57 27132 0.54
691 71 35011 0.7
696 4 1765 0.02
701 14 6985 0.12
706 28 13728 0.26
711 36 17282 0.34
716 44 20594 0.4
721 60 28170 0.56
726 63 29423 0.58
731 74 34906 0.68
736 4 1803 0.02
741 16 7865 0.14
746 28 13555 0.26
751 34 16456 0.32
756 41 19426 0.38
761 58 27706 0.54
766 62 29750 0.58
771 69 33067 0.66
776 79 38049 0.76
781 11 5534 0.1
786 21 10584 0.2
791 33 16289 0.32
796 44 21584 0.42
801 58 27937 0.54
806 70 33854 0.66
811 83 40467 0.8
816 95 46212 0.92
821 116 55921 1.1
826 136 65678 1.3
831 37 17949 0.34
836 52 24859 0.48
841 73 34667 0.68
846 92 43475 0.86
851 116 54898 1.08
856 150 72302 1.44
861 182 87878 1.74
866 204 98232 1.96
871 234 112764 2.24
876 259 124743 2.48
881 289 139425 2.78
886 319 152625 3.04
891 350 168479 3.36
896 267 130070 2.6
901 287 139990 2.78
906 308 150342 3
911 329 160643 3.2
916 235 113913 2.26
921 273 131867 2.62
926 306 147725 2.94
931 221 106565 2.12
936 246 117949 2.34
941 270 129066 2.58
946 177 83866 1.66
951 210 100221 2
956 246 117300 2.34
961 277 132034 2.64
966 185 88648 1.76
971 215 102612 2.04
976 246 117237 2.34
981 149 69874 1.38
986 180 84418 1.68
991 210 98808 1.96
996 118 55708 1.1
