#BlockHash TimeSend TimeReceve
72657 223 224.328
307488 146.5 147.694
447400 187 188.328
959966 373 374.328
1632903 524.5 526.394
1811052 41.5 42.6943
3609048 77.5 78.6941
3765899 492.38 494.81
3783430 492.38 495.363
3895847 569.5 571.403
4792831 511 513.386
4859321 25 26.6943
4902680 492.38 495.801
5166767 496.011 496.302
5690375 496.059 496.809
5693245 553 554.385
5761421 109 110.694
5883073 436 437.328
7650092 489.401 491.385
7748968 496.056 497.102
9660521 61 62.6942
11042914 492.38 492.806
11051267 492.38 493.368
11222674 127 128.694
11514038 346 347.328
11668377 254.5 256.328
11883272 92.5 93.6943
12397339 400 401.327
13366516 596.001 596.11
13384228 11.7192 13.6941
14277075 317.5 319.328
14401667 500.5 502.385
14620159 492.38 494.371
14643546 284.5 286.328
15361205 584.5 586.393
16433386 539.5 541.408
