TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 33 15608 0.3
21 73 33983 0.66
26 112 52413 1.04
31 31 15392 0.3
36 62 30094 0.6
41 90 43529 0.86
46 135 65293 1.3
51 58 28922 0.56
56 92 44137 0.88
61 132 64744 1.28
66 51 24612 0.48
71 95 45812 0.9
76 125 60478 1.2
81 43 21308 0.42
86 86 42082 0.84
91 126 61670 1.22
96 168 82162 1.64
101 76 36746 0.72
106 111 54111 1.08
111 134 65368 1.3
116 59 28733 0.56
121 85 41061 0.82
126 113 55606 1.1
131 149 72985 1.44
136 191 93251 1.86
141 215 104545 2.08
146 240 116400 2.32
151 257 124564 2.48
156 275 133705 2.66
161 283 137714 2.74
166 295 143701 2.86
171 306 149011 2.98
176 317 153948 3.06
181 114 55432 1.1
186 126 61230 1.22
191 139 67165 1.34
196 26 12423 0.24
201 44 21298 0.42
206 54 26133 0.52
211 66 31855 0.62
216 75 36435 0.72
221 13 6777 0.12
226 37 18569 0.36
231 44 21763 0.42
236 57 27579 0.54
241 67 32816 0.64
246 83 40689 0.8
251 12 6223 0.12
256 25 12890 0.24
261 48 24382 0.48
266 61 30966 0.6
271 69 34826 0.68
276 83 42024 0.84
281 24 12807 0.24
286 39 20066 0.4
291 45 23204 0.46
296 59 29482 0.58
301 73 35968 0.7
306 15 7332 0.14
311 27 13148 0.26
316 44 21622 0.42
321 55 27275 0.54
326 65 32139 0.64
331 82 40285 0.8
336 15 7939 0.14
341 28 14055 0.28
346 42 20634 0.4
351 48 23803 0.46
356 63 31106 0.62
361 79 39480 0.78
366 19 9412 0.18
371 32 15320 0.3
376 43 20374 0.4
381 55 26236 0.52
386 64 30977 0.6
391 77 37533 0.74
396 11 5578 0.1
401 21 9795 0.18
406 35 17015 0.34
411 47 22444 0.44
416 65 30455 0.6
421 75 35527 0.7
426 11 5679 0.1
431 24 12262 0.24
436 43 20952 0.4
441 55 26748 0.52
446 64 31000 0.62
451 78 37170 0.74
456 14 6663 0.12
461 22 10868 0.2
466 32 15520 0.3
471 38 18372 0.36
476 45 22059 0.44
481 61 29336 0.58
486 76 36591 0.72
491 11 5763 0.1
496 21 10350 0.2
501 30 14564 0.28
506 44 21187 0.42
511 58 28258 0.56
516 67 32467 0.64
521 80 39306 0.78
526 13 6548 0.12
531 31 15365 0.3
536 46 22280 0.44
541 61 29373 0.58
546 70 33688 0.66
551 80 38449 0.76
556 17 8271 0.16
561 33 15626 0.3
566 47 22221 0.44
571 57 27394 0.54
576 65 31164 0.62
581 80 37819 0.74
586 13 6306 0.12
591 25 12570 0.24
596 37 18019 0.36
601 54 26448 0.52
606 68 33477 0.66
611 90 44856 0.88
616 24 11079 0.22
621 36 17146 0.34
626 50 24218 0.48
631 66 31823 0.62
636 80 38727 0.76
641 9 4686 0.08
646 18 9039 0.18
651 33 16272 0.32
656 45 22014 0.44
661 54 26607 0.52
666 71 34895 0.68
671 84 40984 0.8
676 21 10374 0.2
681 28 13740 0.26
686 39 19360 0.38
691 51 25361 0.5
696 58 28963 0.56
701 69 34270 0.68
706 77 38097 0.76
711 10 5254 0.1
716 21 10651 0.2
721 31 15140 0.3
726 39 18700 0.36
731 57 27280 0.54
736 71 34305 0.68
741 86 41543 0.82
746 23 10979 0.2
751 32 14894 0.28
756 39 18252 0.36
761 64 29635 0.58
766 86 39604 0.78
771 107 49372 0.98
776 133 61923 1.22
781 156 73549 1.46
786 193 90879 1.8
791 240 115357 2.3
796 273 130824 2.6
801 315 151912 3.02
806 357 171886 3.42
811 388 186868 3.72
816 418 202015 4.04
821 451 218196 4.36
826 488 235498 4.7
831 522 252817 5.04
836 560 271586 5.42
841 586 284288 5.68
846 621 300984 6
851 658 318647 6.36
856 691 334510 6.68
861 729 352184 7.04
866 768 370895 7.4
871 794 382989 7.64
876 827 399161 7.98
881 866 417923 8.34
886 901 435201 8.7
891 939 452483 9.04
896 966 465860 9.3
