TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 27 13129 0.26
21 56 27948 0.54
26 87 42579 0.84
31 29 13660 0.26
36 53 24610 0.48
41 78 37257 0.74
46 16 7583 0.14
51 36 18108 0.36
56 63 30482 0.6
61 89 43274 0.86
66 23 11114 0.22
71 47 22552 0.44
76 71 33640 0.66
81 16 7500 0.14
86 47 22557 0.44
91 73 34285 0.68
96 14 6258 0.12
101 37 18003 0.36
106 67 31674 0.62
111 9 4607 0.08
116 33 16198 0.32
121 50 25122 0.5
126 71 35739 0.7
131 20 9961 0.18
136 47 23544 0.46
141 67 32508 0.64
146 74 35624 0.7
151 89 43548 0.86
156 107 51731 1.02
161 121 59093 1.18
166 137 66686 1.32
171 27 12760 0.24
176 41 19230 0.38
181 57 26732 0.52
186 70 33462 0.66
191 87 41251 0.82
196 27 11857 0.22
201 37 15938 0.3
206 52 22712 0.44
211 67 30115 0.6
216 82 37887 0.74
221 13 5533 0.1
226 24 10626 0.2
231 33 14939 0.28
236 47 21295 0.42
241 59 27058 0.54
246 71 32808 0.64
251 85 39868 0.78
256 14 6218 0.12
261 25 11261 0.22
266 41 19566 0.38
271 52 24475 0.48
276 58 27543 0.54
281 72 34465 0.68
286 9 4016 0.08
291 23 11394 0.22
296 39 19529 0.38
301 53 26133 0.52
306 69 33423 0.66
311 84 40471 0.8
316 20 9034 0.18
321 37 17048 0.34
326 53 25069 0.5
331 63 29696 0.58
336 73 34149 0.68
341 86 40576 0.8
346 15 7172 0.14
351 26 12437 0.24
356 38 17846 0.34
361 54 26430 0.52
366 70 34099 0.68
371 81 39300 0.78
376 19 8640 0.16
381 32 15157 0.3
386 41 19001 0.38
391 52 24038 0.48
396 63 29494 0.58
401 84 39448 0.78
406 19 8897 0.16
411 35 17309 0.34
416 42 20271 0.4
421 55 26503 0.52
426 68 33068 0.66
431 79 38330 0.76
436 17 8289 0.16
441 30 15098 0.3
446 38 19145 0.38
451 49 24224 0.48
456 62 30443 0.6
461 77 37273 0.74
466 90 43162 0.86
471 105 50588 1
476 126 60930 1.2
481 155 76118 1.52
486 173 84746 1.68
491 193 94296 1.88
496 216 104962 2.08
501 237 114667 2.28
506 201 95695 1.9
511 221 104593 2.08
516 129 61113 1.22
521 152 71885 1.42
526 182 86295 1.72
531 124 59760 1.18
536 147 71133 1.42
541 173 83251 1.66
546 118 57093 1.14
551 148 72108 1.44
556 98 46564 0.92
561 126 59950 1.18
566 149 71592 1.42
571 178 84955 1.68
576 111 53885 1.06
581 146 71929 1.42
586 172 85003 1.7
591 118 57193 1.14
596 137 66781 1.32
