TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 36 17042 0.34
21 76 35417 0.7
26 115 53847 1.06
31 34 16826 0.32
36 65 31528 0.62
41 93 44963 0.88
46 138 66727 1.32
51 61 30356 0.6
56 95 45571 0.9
61 135 66178 1.32
66 54 26046 0.52
71 98 47246 0.94
76 128 61912 1.22
81 46 22742 0.44
86 89 43516 0.86
91 129 63104 1.26
96 171 83596 1.66
101 79 38180 0.76
106 112 54665 1.08
111 135 66007 1.32
116 62 30167 0.6
121 88 42495 0.84
126 13 6737 0.12
131 49 24116 0.48
136 91 44382 0.88
141 115 55676 1.1
146 139 66917 1.32
151 155 74459 1.48
156 173 83600 1.66
161 181 87609 1.74
166 193 93596 1.86
171 204 98906 1.96
176 95 45871 0.9
181 110 53187 1.06
186 122 58985 1.16
191 15 6950 0.12
196 22 10178 0.2
201 40 19053 0.38
206 50 23888 0.46
211 62 29610 0.58
216 71 34190 0.68
221 9 4532 0.08
226 33 16324 0.32
231 40 19518 0.38
236 53 25334 0.5
241 63 30571 0.6
246 1 370 0
251 8 3978 0.06
256 21 10645 0.2
261 44 22137 0.44
266 57 28721 0.56
271 65 32581 0.64
276 2 1038 0.02
281 20 10562 0.2
286 35 17821 0.34
291 41 20959 0.4
296 55 27237 0.54
301 69 33723 0.66
306 11 5087 0.1
311 23 10903 0.2
316 40 19377 0.38
321 51 25030 0.5
326 61 29894 0.58
331 78 38040 0.76
336 11 5694 0.1
341 24 11810 0.22
346 38 18389 0.36
351 44 21558 0.42
356 59 28861 0.56
361 75 37235 0.74
366 15 7167 0.14
371 28 13075 0.26
376 39 18129 0.36
381 51 23991 0.46
386 60 28732 0.56
391 73 35288 0.7
396 7 3333 0.06
401 17 7550 0.14
406 31 14770 0.28
411 43 20199 0.4
416 61 28210 0.56
421 71 33282 0.66
426 7 3434 0.06
431 20 10017 0.2
436 39 18707 0.36
441 51 24503 0.48
446 60 28755 0.56
451 74 34925 0.68
456 10 4418 0.08
461 18 8623 0.16
466 28 13275 0.26
471 34 16127 0.32
476 41 19814 0.38
481 57 27091 0.54
486 72 34346 0.68
491 7 3518 0.06
496 17 8105 0.16
501 26 12319 0.24
506 40 18942 0.36
511 54 26013 0.52
516 63 30222 0.6
521 77 37691 0.74
526 9 4303 0.08
531 27 13120 0.26
536 42 20035 0.4
541 57 27128 0.54
546 66 31443 0.62
551 76 36204 0.72
556 13 6026 0.12
561 29 13381 0.26
566 43 19976 0.38
571 53 25149 0.5
576 61 28919 0.56
581 76 35574 0.7
586 9 4061 0.08
591 21 10325 0.2
596 33 15774 0.3
601 50 24203 0.48
606 64 31232 0.62
611 6 3030 0.06
616 20 8834 0.16
621 32 14901 0.28
626 46 21973 0.42
631 62 29578 0.58
636 76 36482 0.72
641 5 2441 0.04
646 14 6794 0.12
651 29 14027 0.28
656 41 19769 0.38
661 50 24362 0.48
666 67 32650 0.64
671 3 1633 0.02
676 17 8129 0.16
681 24 11495 0.22
686 35 17115 0.34
691 47 23116 0.46
696 54 26718 0.52
701 65 32025 0.64
706 73 35852 0.7
711 6 3009 0.06
716 17 8406 0.16
721 27 12895 0.24
726 35 16455 0.32
731 52 24500 0.48
736 66 31525 0.62
741 2 935 0
746 18 8199 0.16
751 27 12114 0.24
756 34 15472 0.3
761 59 26855 0.52
766 81 36824 0.72
771 103 47037 0.94
776 129 59588 1.18
781 152 71214 1.42
786 189 88544 1.76
791 235 112453 2.24
796 268 127920 2.54
801 310 149008 2.98
806 352 168982 3.36
811 384 184409 3.68
816 413 199111 3.98
821 446 215292 4.3
826 483 232594 4.64
831 517 249913 4.98
836 555 268682 5.36
841 581 281384 5.62
846 615 297553 5.94
851 653 315743 6.3
856 687 332124 6.64
861 725 349798 6.98
866 764 368509 7.36
871 793 382148 7.64
876 826 398320 7.96
881 865 417082 8.34
886 900 434410 8.68
891 916 441661 8.82
896 943 454955 9.08
