#BlockHash TimeSend TimeReceve
72657 531.004 531.241
307488 511.148 511.436
447400 492.103 495.083
959966 531.004 531.381
1632903 524.5 526.406
1811052 41.5 42.6979
3609048 77.5 78.6974
3765899 284.5 285.774
3783430 166 167.774
3895847 569.5 571.408
4792831 511 513.39
4859321 25 26.6979
4902680 250 251.775
5166767 310 311.774
5690375 433 434.774
5693245 553 554.39
5761421 109 110.698
5883073 501.057 501.491
7650092 489.401 491.388
7748968 371.5 372.774
9660521 61 62.6995
11042914 217 218.774
11051267 190 191.774
11222674 127 128.698
11514038 492.103 492.506
11668377 521.02 521.267
11883272 92.5 93.6982
12397339 511.11 511.442
13366516 401.5 402.774
13384228 11.7192 13.6978
14277075 496.011 496.186
14401667 500.5 502.516
14620159 341.5 342.774
14643546 511.135 511.354
15361205 584.5 586.398
16433386 539.5 541.432
